uid,DT,DF,DL,DP,DC,BD,SL,TL,RL,LE,NQ,BT,DR,HR,DW,DG,SR,NDVI,RD,SB,GVI,SVI,RS,VMI,VHI,SDI,PD,WE
823,408.789014,167.900574,594.937044,160.555876,309.632948,0,0,0,1,0.009733,0.231729,2.022383,1.685242,291.040253,83.564103,0.733411,0.5,0.1544,126.994485,7.470264,0.187991,0.447731,0.142044529,0.079034,0.015007,0.761311173,74.918297,14
824,383.940341,117.606298,514.91205,69.335011,297.303175,0.006440504,0,0,1,0.33693,0.25439,1.420937,1.422538,205.986203,151.979236,0.939697,0.5,0.1545,92.243262,4.192876,0.225144,0.573187,0.166556507,0.150266,0.029987,0.614722169,85.895897,5
825,371.773905,80.898693,477.730663,42.683967,293.668591,0,0.199848727,0,0.100606,0.326412,0.263454,1.824053,1.292957,200.052333,188.55606,0.091339,0.5,0.1545,57.558736,3.837249,0.255713,0.522729,0.142602939,0.156654,0.025805,0.653701858,87.129547,18
826,366.089453,65.253014,443.078721,61.939473,298.485016,0,0.077197426,0,0,0,0,0,0,0,230.140388,0,1.333333,0.1546,0,0,0.278669,0.571879,0.222092713,0.050341,0.024356,0.602481366,88.363197,17
827,367.188152,83.49439,411.595578,104.168496,311.360511,0,0.018530736,0,0.410628,1.043127,0,0,0,0,274.546552,0.331716978,1.5,0.1546,0,0,0.483581,0.403646,0.112321203,0.041998,0.005503,0.633533409,97.881203,18
828,229.327156,68.402898,231.050327,16.671453,16.278153,0.075363739,0,0,0.237752,0.341537,0.025077,0.234585,1.03573,249.871994,308.652697,0,4,0.1894,54.160932,13.540233,0.633586,0.250523,0.139029536,0.054908,0.010418,0.607418601,155.578003,3
829,179.861329,33.395091,223.37448,23.473348,27.930398,0.265380232,0.255251924,0,0.999679,0.000321,0.036124,0.346459,1.117135,219.959999,310.544221,0.184904,3,0.1894,55.357659,6.919707,0.482515,0.277629,0.310563516,0.080925,0.036582,0.711089323,162.746002,1
830,130.802334,39.868432,181.163241,72.14541,69.958588,0.112380308,0.174437807,0,0,0,0,0,0,0,312.435745,0,1.4,0.1756,0,0,0.318173,0.470958,0.066463523,0.146795,0.011167,0.681650105,166.330002,44
831,82.875833,11.79874,144.028058,106.697692,116.34129,0,0.001231106,0,0,0,0,0,0,0,292.672459,0,1.888889,0.1619,0,0,0.017183,0.37843,0.196043931,0.098329,0.014843,0.853034286,209.267998,46
832,40.342989,60.736551,116.910406,78.646729,129.922325,0,0.211082808,0,0.044256,0.801576,0.204306,1.10294,1.299298,218.47575,244.277883,0.498598,3.75,0.1619,107.30004,6.311767,0.557953,0.296873,0.233936167,0.094044,0.027323,0.644628171,188.080002,21
833,94.776221,135.026715,188.05289,37.077625,139.774664,0.410603504,0,0,1,0,0.137943,0.589349,1.61104,192.145996,47.447048,0.542423,3.166667,0.2294,102.107048,25.526762,0.448544,0.377988,0.228412727,0.106269,0.026213,0.67306562,198.595993,3
834,129.521733,140.125428,199.123618,84.430217,178.174701,0.030567773,0,0.678569,0.187907,0.577273,0.257146,1.921788,1.422646,193.932665,0,0.980203,2.666667,0.2294,134.376466,3.44555,0.408371,0.355755,0.205198795,0.080721,0.022092,0.728107196,191.681496,4
835,87.697675,66.064842,156.79101,56.116943,139.515228,0,0,0.191928,0,0.316803,0.053893,0.469199,1.844217,205.964335,0,0.360365,0.5,0.2157,65.328106,4.355207,0.327442,0.365338,0.183244317,0.09121,0.020208,0.763320905,232.973007,1
836,65.321815,43.372828,155.094626,26.181562,135.184311,0.115637985,0,0.856104,0,0.364131,0.120274,1.301998,1.51283,205.495003,0,0.873072,2,0.202,113.486736,5.972986,0.737545,0.033995,0.062612091,0.162109,0.023571,0.453549598,232.973007,9
837,74.486741,66.31622,157.886299,48.601799,148.610554,0.420187425,0,0.865386,0.029399,0.2288,0.115464,0.884064,1.71638,163.007004,39.640196,0.239332,3,0.202,17.851381,4.462845,0.424781,0.304617,0.433012802,0.049938,0.038434,0.749668889,192.75,4
838,44.856744,109.153469,175.504483,95.07258,175.770861,0.295508862,0,0.476052,0.221952,0.393918,0.105959,0.746439,1.452557,176.733668,87.865458,0.341322,4,0.202,106.965644,3.565521,0.345525,0.454112,0.100595818,0.154504,0.019877,0.676684421,192.75,10
839,54.437468,156.30457,204.145937,143.92865,211.437212,0,0,0,0.006356,0.03215,0.034668,0.372587,1.20507,173.281998,136.668917,0.250978,3,0.147,49.692859,12.423215,0.343042,0.369822,0.161079993,0.149512,0.040557,0.729657628,0,13
840,83.744899,308.075058,924.319582,61.937074,694.500463,0.06511065,0,0,1,0.118905,0.150604,0.644992,1.438532,203.369199,92.670602,0.026021,2.166667,0.3186,112.284607,6.604977,0.363556,0.429983,0.310692334,0.112879,0.05515,0.673826036,224.302994,1
841,133.744894,258.600943,897.090649,43.041263,645.508852,0.214296771,0,0,0.968889,0.058198,0.087333,0.341224,1.420085,218.7985,42.670602,0.067555,3,0.3338,54.662586,9.110431,0.230607,0.591313,0.035467364,0.150058,0.00669,0.594644138,182.508499,7
842,183.744892,209.376824,871.881057,66.984568,596.684559,0.195448372,0,0,0.850695,0.361929,0.059781,0.463352,1.17848,240.738007,0,0.765057,0.833333,0.3338,55.623593,13.905898,0.133967,0.697359,0.015240719,0.130342,0.001953,0.499636996,115.879253,5
843,185.407106,160.632689,848.870733,110.096841,548.072302,0.000395302,0,0,0.860838,0.425461,0.059781,0.463352,1.17848,240.738007,0,0.985665,0.8,0.3338,55.623593,27.811797,0.343454,0.56142,0,0.062764,0,0.597380802,91.044502,4
